,Year,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeScorers,AwayScorers,ExtraTime,Penalty,HomePenaltyScore,AwayPenaltyScore,Stadium,Location,Attendance,Referee
865,2018,27 June 2018 (2018-06-27),21:00 MSK (UTC+3),Switzerland,Costa Rica,2,2,"
Džemaili  31'
Drmić  88'","
Waston  56'
Sommer  90+3' (o.g.)",0,0,0,0,Nizhny Novgorod Stadium, Nizhny Novgorod,"43,319[172]",Clément Turpin (France)
866,2018,17 June 2018 (2018-06-17),18:00 MSK (UTC+3),Germany,Mexico,0,1,,"
Lozano  35'",0,0,0,0,Luzhniki Stadium, Moscow,"78,011[173]",Alireza Faghani (Iran)
867,2018,18 June 2018 (2018-06-18),15:00 MSK (UTC+3),Sweden,South Korea,1,0,"
Granqvist  65' (pen.)",,0,0,0,0,Nizhny Novgorod Stadium, Nizhny Novgorod,"42,300[174]",Joel Aguilar (El Salvador)
868,2018,23 June 2018 (2018-06-23),18:00 MSK (UTC+3),South Korea,Mexico,1,2,"
Son Heung-min  90+3'","
Vela  26' (pen.)
Hernández  66'",0,0,0,0,Rostov Arena, Rostov-on-Don,"43,472[175]",Milorad Mažić (Serbia)
869,2018,23 June 2018 (2018-06-23),21:00 MSK (UTC+3),Germany,Sweden,2,1,"
Reus  48'
Kroos  90+5'","
Toivonen  32'",0,0,0,0,Fisht Olympic Stadium, Sochi,"44,287[176]",Szymon Marciniak (Poland)
870,2018,27 June 2018 (2018-06-27),17:00 MSK (UTC+3),South Korea,Germany,2,0,"
Kim Young-gwon  90+4'
Son Heung-min  90+6'",,0,0,0,0,Kazan Arena, Kazan,"41,835[177]",Mark Geiger (United States)
871,2018,27 June 2018 (2018-06-27),19:00 YEKT (UTC+5),Mexico,Sweden,0,3,,"
Augustinsson  50'
Granqvist  62' (pen.)
Álvarez  74' (o.g.)",0,0,0,0,Central Stadium, Yekaterinburg,"33,061[178]",Néstor Pitana (Argentina)
872,2018,18 June 2018 (2018-06-18),18:00 MSK (UTC+3),Belgium,Panama,3,0,"
Mertens  47'
Lukaku  69', 75'",,0,0,0,0,Fisht Olympic Stadium, Sochi,"43,257[179]",Janny Sikazwe (Zambia)
873,2018,18 June 2018 (2018-06-18),21:00 MSK (UTC+3),Tunisia,England,1,2,"
Sassi  35' (pen.)","
Kane  11', 90+1'",0,0,0,0,Volgograd Arena, Volgograd,"41,064[180]",Wilmar Roldán (Colombia)
874,2018,23 June 2018 (2018-06-23),15:00 MSK (UTC+3),Belgium,Tunisia,5,2,"
E. Hazard  6' (pen.), 51'
Lukaku  16', 45+3'
Batshuayi  90'","
Bronn  18'
Khazri  90+3'",0,0,0,0,Otkritie Arena, Moscow,"44,190[181]",Jair Marrufo (United States)
875,2018,24 June 2018 (2018-06-24),15:00 MSK (UTC+3),England,Panama,6,1,"
Stones  8', 40'
Kane  22' (pen.), 45+1' (pen.), 62'
Lingard  36'","
Baloy  78'",0,0,0,0,Nizhny Novgorod Stadium, Nizhny Novgorod,"43,319[182]",Gehad Grisha (Egypt)
876,2018,28 June 2018 (2018-06-28),20:00 KALT (UTC+2),England,Belgium,0,1,,"
Januzaj  51'",0,0,0,0,Kaliningrad Stadium, Kaliningrad,"33,973[183]",Damir Skomina (Slovenia)
877,2018,28 June 2018 (2018-06-28),21:00 MSK (UTC+3),Panama,Tunisia,1,2,"
Meriah  33' (o.g.)","
F. Ben Youssef  51'
Khazri  66'",0,0,0,0,Mordovia Arena, Saransk,"37,168[184]",Nawaf Shukralla (Bahrain)
878,2018,19 June 2018 (2018-06-19),15:00 MSK (UTC+3),Colombia,Japan,1,2,"
Quintero  39'","
Kagawa  6' (pen.)
Osako  73'",0,0,0,0,Mordovia Arena, Saransk,"40,842[185]",Damir Skomina (Slovenia)
879,2018,19 June 2018 (2018-06-19),18:00 MSK (UTC+3),Poland,Senegal,1,2,"
Krychowiak  86'","
Cionek  37' (o.g.)
Niang  60'",0,0,0,0,Otkritie Arena, Moscow,"44,190[186]",Nawaf Shukralla (Bahrain)
880,2018,24 June 2018 (2018-06-24),20:00 YEKT (UTC+5),Japan,Senegal,2,2,"
Inui  34'
Honda  78'","
Mané  11'
Wagué  71'",0,0,0,0,Central Stadium, Yekaterinburg,"32,572[187]",Gianluca Rocchi (Italy)
881,2018,24 June 2018 (2018-06-24),21:00 MSK (UTC+3),Poland,Colombia,0,3,,"
Mina  40'
Falcao  70'
Ju. Cuadrado  75'",0,0,0,0,Kazan Arena, Kazan,"42,873[188]",César Arturo Ramos (Mexico)
882,2018,28 June 2018 (2018-06-28),17:00 MSK (UTC+3),Japan,Poland,0,1,,"
Bednarek  59'",0,0,0,0,Volgograd Arena, Volgograd,"42,189[189]",Janny Sikazwe (Zambia)
883,2018,28 June 2018 (2018-06-28),18:00 SAMT (UTC+4),Senegal,Colombia,0,1,,"
Mina  74'",0,0,0,0,Cosmos Arena, Samara,"41,970[190]",Milorad Mažić (Serbia)
